Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,0,1.00,-8.00,-2.0000000,0.0000000,0.0000000,1.0000000
101,0,1.00,-8.00,-2.0000000,0.0000000,0.0000000,1.0000000
201,0,1.00,-8.00,-2.0000000,0.0000000,0.0000000,1.0000000
301,0,1.00,-8.00,-2.0000000,0.0000000,0.0000000,1.0000000
401,0,1.00,-8.00,-2.0000000,0.0000000,0.0000000,1.0000000
501,0,1.00,-8.00,-1.9960080,0.031872383,0.0019920239,0.99900200
601,0,1.00,-8.00,-1.9933444,0.053067406,0.0033167129,0.99833611
701,0,1.00,-8.00,-1.9800285,0.15817632,0.018380101,0.99358060
801,0,1.00,-8.00,-1.9825218,0.13860328,0.016103466,0.99438202
901,0,1.00,-8.00,-1.9844617,0.12334057,0.014328635,0.99500555
1001,0,1.00,-8.00,-1.9860140,0.11110568,0.012906175,0.99550450
1101,0,1.00,-8.00,-1.9872843,0.10107895,0.011740627,0.99591281
1201,0,1.00,-8.00,-1.9883430,0.092712082,0.010768157,0.99625312
1301,0,1.00,-8.00,-1.9892390,0.085624432,0.0099444583,0.99654112
1401,0,1.00,-8.00,-1.9900071,0.079543469,0.0092378188,0.99678801
1501,0,1.00,-8.00,-1.9906729,0.074268942,0.0086249407,0.99700200
1601,0,1.00,-8.00,-1.9912555,0.069650410,0.0080883239,0.99718926
1701,0,1.00,-8.00,-1.9917695,0.065572660,0.0076145685,0.99735450
1801,0,1.00,-8.00,-1.9900056,0.079556024,0.0099500524,0.99666852
1901,0,1.00,-8.00,-1.9905313,0.075390980,0.0094288534,0.99684377
2001,0,1.00,-8.00,-1.9910045,0.071640342,0.0089595382,0.99700150
2101,0,1.00,-8.00,-1.9914327,0.068245193,0.0085347269,0.99714422
2201,0,1.00,-8.00,-1.9918219,0.065157282,0.0081483758,0.99727397
2301,0,1.00,-8.00,-1.9921773,0.062336709,0.0077954883,0.99739244
2401,0,1.00,-8.00,-1.9925031,0.059750198,0.0074718971,0.99750104
2501,0,1.00,-8.00,-1.9928029,0.057369775,0.0071740996,0.99760096
2601,0,1.00,-8.00,-1.9930796,0.055171753,0.0068991298,0.99769319
2701,0,1.00,-8.00,-1.9933358,0.053135941,0.0066444600,0.99777860
2801,0,1.00,-8.00,-1.9892895,0.085224829,0.0085270714,0.99678686
2901,0,1.00,-8.00,-1.9896587,0.082302326,0.0082345103,0.99689762
3001,0,1.00,-8.00,-1.9900033,0.079573609,0.0079613582,0.99700100
3101,0,1.00,-8.00,-1.9903257,0.077020021,0.0077057458,0.99709771
3201,0,1.00,-8.00,-1.9906279,0.074625227,0.0074660361,0.99718838
3301,0,1.00,-8.00,-1.9909118,0.072374863,0.0072407900,0.99727355
3401,0,1.00,-8.00,-1.9911791,0.070256245,0.0070287368,0.99735372
3501,0,1.00,-8.00,-1.9914310,0.068258133,0.0068287504,0.99742931
3601,0,1.00,-8.00,-1.9916690,0.066370530,0.0066398292,0.99750069
3701,0,1.00,-8.00,-1.9918941,0.064584515,0.0064610797,0.99756822
3801,0,1.00,-8.00,-1.9921073,0.062892102,0.0062917020,0.99763220
3901,0,1.00,-8.00,-1.9923097,0.061286121,0.0061309778,0.99769290
4001,0,1.00,-8.00,-1.9925019,0.059760116,0.0059782605,0.99775056
4101,0,1.00,-8.00,-1.9926847,0.058308258,0.0058329663,0.99780541
4201,0,1.00,-8.00,-1.9928588,0.056925270,0.0056945669,0.99785765
4301,0,1.00,-8.00,-1.9930249,0.055606367,0.0055625828,0.99790746
4401,0,1.00,-8.00,-1.9931834,0.054347195,0.0054365781,0.99795501
4501,0,1.00,-8.00,-1.9933348,0.053143785,0.0053161555,0.99800044
4601,0,1.00,-8.00,-1.9934797,0.051992515,0.0052009521,0.99804390
4701,0,1.00,-8.00,-1.9936184,0.050890067,0.0050906357,0.99808551
4801,0,1.00,-8.00,-1.9937513,0.049833401,0.0049849019,0.99812539
4901,0,1.00,-8.00,-1.9938788,0.048819722,0.0048834709,0.99816364
5001,0,1.00,-8.00,-1.9940012,0.047846460,0.0047860854,0.99820036
5101,0,1.00,-8.00,-1.9941188,0.046911244,0.0046925079,0.99823564
5201,0,1.00,-8.00,-1.9942319,0.046011887,0.0046025196,0.99826956
5301,0,1.00,-8.00,-1.9943407,0.045146365,0.0045159176,0.99830221
5401,0,1.00,-8.00,-1.9944455,0.044312804,0.0044325146,0.99833364
5501,0,1.00,-8.00,-1.9945464,0.043509466,0.0043521363,0.99836393
5601,0,1.00,-8.00,-1.9946438,0.042734736,0.0042746212,0.99839314
5701,0,1.00,-8.00,-1.9947378,0.041987113,0.0041998190,0.99842133
5801,0,1.00,-8.00,-1.9948285,0.041265199,0.0041275897,0.99844854
5901,0,1.00,-8.00,-1.9949161,0.040567689,0.0040578028,0.99847483
6001,0,1.00,-8.00,-1.9940010,0.047848049,0.0044870042,0.99825029
6101,0,1.00,-8.00,-1.9940993,0.047066104,0.0044136562,0.99827897
6201,0,1.00,-8.00,-1.9941945,0.046309306,0.0043426677,0.99830672
6301,0,1.00,-8.00,-1.9942866,0.045576460,0.0042739265,0.99833360
6401,0,1.00,-8.00,-1.9943759,0.044866447,0.0042073277,0.99835963
6501,0,1.00,-8.00,-1.9944624,0.044178216,0.0041427725,0.99838486
6601,0,1.00,-8.00,-1.9945463,0.043510781,0.0040801685,0.99840933
6701,0,1.00,-8.00,-1.9943292,0.045237732,0.0041677021,0.99835845
6801,0,1.00,-8.00,-1.9944126,0.044574432,0.0041065776,0.99838259
6901,0,1.00,-8.00,-1.9944936,0.043930303,0.0040472200,0.99840603
7001,0,1.00,-8.00,-1.9945722,0.043304524,0.0039895539,0.99842880
7101,0,1.00,-8.00,-1.9946486,0.042696324,0.0039335080,0.99845092
7201,0,1.00,-8.00,-1.9947230,0.042104970,0.0038790150,0.99847243
7301,0,1.00,-8.00,-1.9947952,0.041529773,0.0038260112,0.99849336
7401,0,1.00,-8.00,-1.9948656,0.040970080,0.0037744364,0.99851371
7501,0,1.00,-8.00,-1.9941341,0.046789442,0.0049197191,0.99820024
7601,0,1.00,-8.00,-1.9942113,0.046175659,0.0048551627,0.99822392
7701,0,1.00,-8.00,-1.9942865,0.045577771,0.0047922785,0.99824698
7801,0,1.00,-8.00,-1.9943597,0.044995168,0.0047310025,0.99826945
7901,0,1.00,-8.00,-1.9944311,0.044427271,0.0046712737,0.99829136
8001,0,1.00,-8.00,-1.9945007,0.043873531,0.0046130342,0.99831271
8101,0,1.00,-8.00,-1.9945686,0.043333424,0.0045562290,0.99833354
8201,0,1.00,-8.00,-1.9946348,0.042806453,0.0045008058,0.99835386
8301,0,1.00,-8.00,-1.9946994,0.042292146,0.0044467148,0.99837369
8401,0,1.00,-8.00,-1.9947625,0.041790049,0.0043939084,0.99839305
8501,0,1.00,-8.00,-1.9943536,0.045043629,0.0049281414,0.99823550
8601,0,1.00,-8.00,-1.9944193,0.044521392,0.0048709872,0.99825602
8701,0,1.00,-8.00,-1.9944834,0.044011126,0.0048151435,0.99827606
8801,0,1.00,-8.00,-1.9945461,0.043512424,0.0047605657,0.99829565
8901,0,1.00,-8.00,-1.9946073,0.043024897,0.0047072113,0.99831480
9001,0,1.00,-8.00,-1.9946673,0.042548174,0.0046550396,0.99833352
9101,0,1.00,-8.00,-1.9947259,0.042081899,0.0046040116,0.99835183
9201,0,1.00,-8.00,-1.9947832,0.041625733,0.0045540903,0.99836974
9301,0,1.00,-8.00,-1.9948393,0.041179350,0.0045052399,0.99838727
9401,0,1.00,-8.00,-1.9948942,0.040742440,0.0044574264,0.99840443
9501,0,1.00,-8.00,-1.9949479,0.040314703,0.0044106171,0.99842122
9601,0,1.00,-8.00,-1.9950005,0.039895855,0.0043647807,0.99843766
9701,0,1.00,-8.00,-1.9948459,0.041126603,0.0044223212,0.99840223
9801,0,1.00,-8.00,-1.9948985,0.040708060,0.0043773032,0.99841853
9901,0,1.00,-8.00,-1.9949500,0.040297950,0.0043331925,0.99843450
10001,0,1.00,-8.00,-1.9950005,0.039896020,0.0042899620,0.99845015
10101,0,1.00,-8.00,-1.9950500,0.039502029,0.0042475855,0.99846550
10201,0,1.00,-8.00,-1.9950985,0.039115744,0.0042060380,0.99848054
10301,0,1.00,-8.00,-1.9951461,0.038736940,0.0041652954,0.99849529
10401,0,1.00,-8.00,-1.9951928,0.038365403,0.0041253346,0.99850976
10501,0,1.00,-8.00,-1.9952385,0.038000925,0.0040861332,0.99852395
10601,0,1.00,-8.00,-1.9950948,0.039145337,0.0044238538,0.99844354
10701,0,1.00,-8.00,-1.9951406,0.038780418,0.0043826029,0.99845809
10801,0,1.00,-8.00,-1.9951856,0.038422240,0.0043421142,0.99847236
10901,0,1.00,-8.00,-1.9952298,0.038070617,0.0043023668,0.99848638
11001,0,1.00,-8.00,-1.9950914,0.039172778,0.0043536877,0.99845469
11101,0,1.00,-8.00,-1.9951356,0.038820762,0.0043145541,0.99846861
11201,0,1.00,-8.00,-1.9951790,0.038475017,0.0042761178,0.99848228
11301,0,1.00,-8.00,-1.9952217,0.038135376,0.0042383602,0.99849571
11401,0,1.00,-8.00,-1.9952636,0.037801678,0.0042012635,0.99850890
11501,0,1.00,-8.00,-1.9953048,0.037473770,0.0041648106,0.99852187
11601,0,1.00,-8.00,-1.9953452,0.037151502,0.0041289849,0.99853461
11701,0,1.00,-8.00,-1.9953850,0.036834729,0.0040937702,0.99854713
11801,0,1.00,-8.00,-1.9954241,0.036523312,0.0040591511,0.99855944
11901,0,1.00,-8.00,-1.9954626,0.036217117,0.0040251126,0.99857155
12001,0,1.00,-8.00,-1.9955004,0.035916014,0.0039916403,0.99858345
12101,0,1.00,-8.00,-1.9950417,0.039567806,0.0042051788,0.99847120
12201,0,1.00,-8.00,-1.9950824,0.039244305,0.0041707890,0.99848373
12301,0,1.00,-8.00,-1.9951223,0.038926052,0.0041369570,0.99849606
12401,0,1.00,-8.00,-1.9951617,0.038612919,0.0041036695,0.99850818
12501,0,1.00,-8.00,-1.9952004,0.038304783,0.0040709134,0.99852012
12601,0,1.00,-8.00,-1.9952385,0.038001526,0.0040386761,0.99853186
12701,0,1.00,-8.00,-1.9952760,0.037703034,0.0040069454,0.99854342
12801,0,1.00,-8.00,-1.9953129,0.037409194,0.0039757093,0.99855480
12901,0,1.00,-8.00,-1.9953492,0.037119898,0.0039449565,0.99856600
13001,0,1.00,-8.00,-1.9953850,0.036835043,0.0039146758,0.99857703
13101,0,1.00,-8.00,-1.9954202,0.036554526,0.0038848564,0.99858789
13201,0,1.00,-8.00,-1.9954549,0.036278250,0.0038554879,0.99859859
13301,0,1.00,-8.00,-1.9954891,0.036006118,0.0038265601,0.99860913
13401,0,1.00,-8.00,-1.9955227,0.035738038,0.0037980631,0.99861951
13501,0,1.00,-8.00,-1.9955559,0.035473921,0.0037699874,0.99862973
13601,0,1.00,-8.00,-1.9955886,0.035213679,0.0037423238,0.99863981
13701,0,1.00,-8.00,-1.9956208,0.034957228,0.0037150632,0.99864973
13801,0,1.00,-8.00,-1.9956525,0.034704485,0.0036881968,0.99865952
13901,0,1.00,-8.00,-1.9956838,0.034455370,0.0036617163,0.99866916
14001,0,1.00,-8.00,-1.9957146,0.034209807,0.0036356133,0.99867867
14101,0,1.00,-8.00,-1.9957450,0.033967718,0.0036098798,0.99868804
14201,0,1.00,-8.00,-1.9957749,0.033729032,0.0035845080,0.99869727
14301,0,1.00,-8.00,-1.9958045,0.033493677,0.0035594904,0.99870638
14401,0,1.00,-8.00,-1.9958336,0.033261584,0.0035348196,0.99871537
14501,0,1.00,-8.00,-1.9958624,0.033032685,0.0035104884,0.99872423
14601,0,1.00,-8.00,-1.9958907,0.032806915,0.0034864899,0.99873296
14701,0,1.00,-8.00,-1.9959186,0.032584210,0.0034628173,0.99874158
14801,0,1.00,-8.00,-1.9959462,0.032364509,0.0034394640,0.99875008
14901,0,1.00,-8.00,-1.9959734,0.032147750,0.0034164235,0.99875847
15001,0,1.00,-8.00,-1.9960003,0.031933875,0.0033936897,0.99876675
15101,0,1.00,-8.00,-1.9960268,0.031722828,0.0033712565,0.99877492
15201,0,1.00,-8.00,-1.9960529,0.031514551,0.0033491178,0.99878297
15301,0,1.00,-8.00,-1.9960787,0.031308992,0.0033272681,0.99879093
15401,0,1.00,-8.00,-1.9961041,0.031106097,0.0033057016,0.99879878
15501,0,1.00,-8.00,-1.9961293,0.030905814,0.0032844128,0.99880653
15601,0,1.00,-8.00,-1.9961541,0.030708094,0.0032633965,0.99881418
15701,0,1.00,-8.00,-1.9961786,0.030512888,0.0032426475,0.99882173
15801,0,1.00,-8.00,-1.9962028,0.030320148,0.0032221606,0.99882919
15901,0,1.00,-8.00,-1.9962267,0.030129828,0.0032019310,0.99883655
16001,0,1.00,-8.00,-1.9962502,0.029941882,0.0031819538,0.99884382
16101,0,1.00,-8.00,-1.9962735,0.029756266,0.0031622243,0.99885100
16201,0,1.00,-8.00,-1.9962965,0.029572938,0.0031427380,0.99885810
16301,0,1.00,-8.00,-1.9963192,0.029391854,0.0031234904,0.99886510
16401,0,1.00,-8.00,-1.9963417,0.029212975,0.0031044771,0.99887202
16501,0,1.00,-8.00,-1.9963639,0.029036260,0.0030856939,0.99887886
16601,0,1.00,-8.00,-1.9962653,0.029821926,0.0031271018,0.99885549
16701,0,1.00,-8.00,-1.9962876,0.029643694,0.0031084090,0.99886234
16801,0,1.00,-8.00,-1.9963097,0.029467580,0.0030899383,0.99886911
16901,0,1.00,-8.00,-1.9963316,0.029293547,0.0030716858,0.99887581
17001,0,1.00,-8.00,-1.9963532,0.029121557,0.0030536477,0.99888242
17101,0,1.00,-8.00,-1.9963745,0.028951574,0.0030358202,0.99888895
17201,0,1.00,-8.00,-1.9963956,0.028783565,0.0030181996,0.99889541
17301,0,1.00,-8.00,-1.9964164,0.028617494,0.0030007824,0.99890180
17401,0,1.00,-8.00,-1.9964370,0.028453329,0.0029835651,0.99890811
17501,0,1.00,-8.00,-1.9964573,0.028291036,0.0029665442,0.99891435
17601,0,1.00,-8.00,-1.9960230,0.031753106,0.0033461138,0.99877848
17701,0,1.00,-8.00,-1.9960454,0.031574076,0.0033272438,0.99878538
17801,0,1.00,-8.00,-1.9960676,0.031397053,0.0033085854,0.99879220
17901,0,1.00,-8.00,-1.9957544,0.033892483,0.0036241885,0.99868722
18001,0,1.00,-8.00,-1.9957780,0.033704601,0.0036040934,0.99869452
18101,0,1.00,-8.00,-1.9958013,0.033518789,0.0035842198,0.99870173
18201,0,1.00,-8.00,-1.9958244,0.033335016,0.0035645642,0.99870886
18301,0,1.00,-8.00,-1.9956287,0.034894332,0.0036538334,0.99866128
18401,0,1.00,-8.00,-1.9956524,0.034705112,0.0036340154,0.99866855
18501,0,1.00,-8.00,-1.9956759,0.034517934,0.0036144113,0.99867575
18601,0,1.00,-8.00,-1.9956992,0.034332763,0.0035950175,0.99868287
18701,0,1.00,-8.00,-1.9956152,0.035001432,0.0036290208,0.99866317
18801,0,1.00,-8.00,-1.9956385,0.034815671,0.0036097563,0.99867028
18901,0,1.00,-8.00,-1.9956616,0.034631872,0.0035906953,0.99867732
19001,0,1.00,-8.00,-1.9954739,0.036126679,0.0036765271,0.99863165
19101,0,1.00,-8.00,-1.9954976,0.035937971,0.0036573183,0.99863881
19201,0,1.00,-8.00,-1.9955211,0.035751224,0.0036383092,0.99864590
19301,0,1.00,-8.00,-1.9955443,0.035566407,0.0036194966,0.99865292
19401,0,1.00,-8.00,-1.9955672,0.035383492,0.0036008776,0.99865986
19501,0,1.00,-8.00,-1.9955900,0.035202449,0.0035824491,0.99866674
19601,0,1.00,-8.00,-1.9956125,0.035023248,0.0035642083,0.99867354
19701,0,1.00,-8.00,-1.9954317,0.036462891,0.0036471239,0.99862951
19801,0,1.00,-8.00,-1.9954548,0.036279164,0.0036287427,0.99863643
19901,0,1.00,-8.00,-1.9954776,0.036097279,0.0036105459,0.99864328
20001,0,1.00,-8.00,-1.9955002,0.035917208,0.0035925307,0.99865007
20101,0,1.00,-8.00,-1.9955226,0.035738925,0.0035746944,0.99865678
20201,0,1.00,-8.00,-1.9955448,0.035562404,0.0035570343,0.99866343
20301,0,1.00,-8.00,-1.9955667,0.035387617,0.0035395479,0.99867002
20401,0,1.00,-8.00,-1.9955885,0.035214541,0.0035222325,0.99867654
20501,0,1.00,-8.00,-1.9956100,0.035043149,0.0035050858,0.99868299
20601,0,1.00,-8.00,-1.9952429,0.037965887,0.0036812148,0.99859230
20701,0,1.00,-8.00,-1.9952659,0.037782921,0.0036634702,0.99859910
20801,0,1.00,-8.00,-1.9952887,0.037601710,0.0036458957,0.99860584
20901,0,1.00,-8.00,-1.9951199,0.038945931,0.0037236381,0.99856466
21001,0,1.00,-8.00,-1.9951431,0.038760934,0.0037059464,0.99857150
21101,0,1.00,-8.00,-1.9951661,0.038577687,0.0036884220,0.99857827
21201,0,1.00,-8.00,-1.9951889,0.038396164,0.0036710625,0.99858497
21301,0,1.00,-8.00,-1.9952115,0.038216341,0.0036538657,0.99859162
21401,0,1.00,-8.00,-1.9952339,0.038038195,0.0036368293,0.99859820
21501,0,1.00,-8.00,-1.9952560,0.037861702,0.0036199510,0.99860472
21601,0,1.00,-8.00,-1.9952780,0.037686840,0.0036032286,0.99861118
21701,0,1.00,-8.00,-1.9952998,0.037513585,0.0035866600,0.99861758
21801,0,1.00,-8.00,-1.9953213,0.037341915,0.0035702431,0.99862392
21901,0,1.00,-8.00,-1.9953427,0.037171810,0.0035539758,0.99863020
22001,0,1.00,-8.00,-1.9953638,0.037003248,0.0035378561,0.99863643
22101,0,1.00,-8.00,-1.9953848,0.036836207,0.0035218819,0.99864260
22201,0,1.00,-8.00,-1.9954056,0.036670668,0.0035060513,0.99864871
22301,0,1.00,-8.00,-1.9954262,0.036506609,0.0034903624,0.99865477
22401,0,1.00,-8.00,-1.9954466,0.036344013,0.0034748133,0.99866077
22501,0,1.00,-8.00,-1.9954669,0.036182858,0.0034594021,0.99866673
22601,0,1.00,-8.00,-1.9954869,0.036023126,0.0034441270,0.99867263
22701,0,1.00,-8.00,-1.9955068,0.035864798,0.0034289862,0.99867847
22801,0,1.00,-8.00,-1.9955265,0.035707856,0.0034139780,0.99868427
22901,0,1.00,-8.00,-1.9955460,0.035552281,0.0033991005,0.99869001
23001,0,1.00,-8.00,-1.9955654,0.035398056,0.0033843522,0.99869571
23101,0,1.00,-8.00,-1.9954115,0.036624149,0.0037151072,0.99861478
23201,0,1.00,-8.00,-1.9954312,0.036466654,0.0036991274,0.99862075
23301,0,1.00,-8.00,-1.9954508,0.036310508,0.0036832846,0.99862667
23401,0,1.00,-8.00,-1.9954703,0.036155694,0.0036675768,0.99863254
23501,0,1.00,-8.00,-1.9954896,0.036002194,0.0036520024,0.99863836
23601,0,1.00,-8.00,-1.9955087,0.035849993,0.0036365598,0.99864413
23701,0,1.00,-8.00,-1.9955276,0.035699072,0.0036212472,0.99864985
23801,0,1.00,-8.00,-1.9955464,0.035549417,0.0036060630,0.99865552
23901,0,1.00,-8.00,-1.9955650,0.035401012,0.0035910057,0.99866114
24001,0,1.00,-8.00,-1.9955835,0.035253840,0.0035760735,0.99866672
24101,0,1.00,-8.00,-1.9956018,0.035107887,0.0035612650,0.99867225
24201,0,1.00,-8.00,-1.9956200,0.034963137,0.0035465787,0.99867774
24301,0,1.00,-8.00,-1.9956380,0.034819577,0.0035320130,0.99868318
24401,0,1.00,-8.00,-1.9956559,0.034677190,0.0035175664,0.99868858
24501,0,1.00,-8.00,-1.9956736,0.034535963,0.0035032375,0.99869393
24601,0,1.00,-8.00,-1.9956912,0.034395882,0.0034890249,0.99869924
24701,0,1.00,-8.00,-1.9957087,0.034256932,0.0034749272,0.99870451
24801,0,1.00,-8.00,-1.9957260,0.034119101,0.0034609429,0.99870973
24901,0,1.00,-8.00,-1.9957431,0.033982374,0.0034470707,0.99871491
