0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,2,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,6,10,10,10,6,4,0,0,0,0,0,2,6,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,5.2,3.6,5.2,4.44089e-16,1.6,0,0,0,0,3.6,6.8,8.4,6.8,5.2,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,5.2,8.4,10,8.4,6.8,3.2,1.6,0,0,0,0,3.6,6.8,8.4,6.8,5.2,3.2,1.6,0,0,0,0,3.6,3.6,5.2,3.6,5.2,4.44089e-16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.72,4.08,3.12,4.72,0.4,4,-0.32,0.64,0,0,0,4.08,5.52,6.48,6.16,5.68,2.08,1.6,0.64,0,0,0,3.76,7.12,8.08,7.76,5.36,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,4.4,7.76,8.72,8.4,6,4,1.6,0.64,0,0,0,3.76,7.12,8.08,7.76,5.36,4,1.6,0.64,0,0,0,4.08,5.52,6.48,6.16,5.68,2.08,1.6,0.64,0,0,0,0.72,4.08,3.12,4.72,0.4,4,-0.32,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,2.832,1.296,4.24,1.04,5.52,-1.536,2.688,-0.256,0.256,0,0,1.552,5.392,5.264,6.16,2.192,4.864,0.64,0.768,0.256,0,0,3.984,5.776,7.184,6.544,6.16,2.816,2.176,0.768,0.256,0,0,3.728,6.544,7.952,7.312,5.904,3.84,2.176,0.768,0.256,0,0,3.984,6.8,8.208,7.568,6.16,3.84,2.176,0.768,0.256,0,0,3.728,6.544,7.952,7.312,5.904,3.84,2.176,0.768,0.256,0,0,3.984,5.776,7.184,6.544,6.16,2.816,2.176,0.768,0.256,0,0,1.552,5.392,5.264,6.16,2.192,4.864,0.64,0.768,0.256,0,0,2.832,1.296,4.24,1.04,5.52,-1.536,2.688,-0.256,0.256,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.56,4.208,0.496,5.744,-2.6336,6.1504,-2.0736,1.6384,-0.1536,0,0,3.952,2.32,6.032,2.32,7.7664,-1.2736,3.8144,0.1024,0.3584,0,0,2.032,5.776,5.904,6.8,3.2864,5.1264,1.2544,1.1264,0.3584,0,0,3.568,5.776,6.928,6.8,5.8464,3.5904,2.2784,1.1264,0.3584,0,0,3.312,6.032,7.184,7.056,5.5904,4.1024,2.2784,1.1264,0.3584,0,0,3.568,5.776,6.928,6.8,5.8464,3.5904,2.2784,1.1264,0.3584,0,0,2.032,5.776,5.904,6.8,3.2864,5.1264,1.2544,1.1264,0.3584,0,0,3.952,2.32,6.032,2.32,7.7664,-1.2736,3.8144,0.1024,0.3584,0,0,-0.56,4.208,0.496,5.744,-2.6336,6.1504,-2.0736,1.6384,-0.1536,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0,0,0,0,3.6,-1.6224,6.096,-3.37344,9.44448,-6.08256,5.88544,-1.83296,0.89088,0,0,-0.8544,6.5952,0.7968,9.14496,-3.98016,9.9072,-3.0848,2.7136,-0.09216,0,0,4.0992,2.9472,6.672,3.24416,8.24384,-0.3328,4.1856,0.4608,0.52224,0,0,2.3072,5.456,6.1088,6.57216,4.19904,4.7872,1.9328,1.28,0.52224,0,0,3.28,5.2,6.4672,6.31616,5.78624,3.5584,2.5472,1.28,0.52224,0,0,2.3072,5.456,6.1088,6.57216,4.19904,4.7872,1.9328,1.28,0.52224,0,0,4.0992,2.9472,6.672,3.24416,8.24384,-0.3328,4.1856,0.4608,0.52224,0,0,-0.8544,6.5952,0.7968,9.14496,-3.98016,9.9072,-3.0848,2.7136,-0.09216,0,0,3.6,-1.6224,6.096,-3.37344,9.44448,-6.08256,5.88544,-1.83296,0.89088,0,0,0,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0,0,0,0,-3.15072,7.48992,-5.33722,11.8982,-11.0412,13.7444,-7.93139,4.89574,-1.30458,0,0,6.2304,-3.45024,10.9252,-6.81203,17.0843,-11.3364,10.9276,-3.44781,1.70598,0,0,-0.69952,7.36064,1.23558,10.3067,-3.69421,11.0492,-2.92096,3.2041,0.043008,0,0,3.74976,3.35168,6.40166,4.00397,7.63635,0.870656,3.96032,0.910336,0.616448,0,0,1.95776,5.14368,5.61318,6.36941,3.83731,5.0281,1.95328,1.48378,0.616448,0,0,3.74976,3.35168,6.40166,4.00397,7.63635,0.870656,3.96032,0.910336,0.616448,0,0,-0.69952,7.36064,1.23558,10.3067,-3.69421,11.0492,-2.92096,3.2041,0.043008,0,0,6.2304,-3.45024,10.9252,-6.81203,17.0843,-11.3364,10.9276,-3.44781,1.70598,0,0,-3.15072,7.48992,-5.33722,11.8982,-11.0412,13.7444,-7.93139,4.89574,-1.30458,0,0,0,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0,0,0,0,7.37856,-9.26922,15.3277,-16.4151,23.7155,-20.3702,16.5859,-8.01096,3.42344,0,0,-6.65843,14.8726,-12.3007,24.173,-23.4041,27.9241,-16.8112,10.3621,-2.90734,0,0,7.35603,-4.24138,13.2563,-8.29069,20.6471,-13.4619,13.4091,-4.08863,2.18481,0,0,-0.405888,7.05129,1.84077,9.88326,-2.57472,10.5472,-2.05087,3.15965,0.258048,0,0,3.88262,2.62351,6.35866,3.16173,8.3657,-0.004096,4.60104,0.865894,0.7168,0,0,-0.405888,7.05129,1.84077,9.88326,-2.57472,10.5472,-2.05087,3.15965,0.258048,0,0,7.35603,-4.24138,13.2563,-8.29069,20.6471,-13.4619,13.4091,-4.08863,2.18481,0,0,-6.65843,14.8726,-12.3007,24.173,-23.4041,27.9241,-16.8112,10.3621,-2.90734,0,0,7.37856,-9.26922,15.3277,-16.4151,23.7155,-20.3702,16.5859,-8.01096,3.42344,0,0,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0,0,0,-10.7982,20.5931,-24.3906,35.1355,-38.305,39.5123,-28.0285,16.9551,-6.42138,0,0,15.8379,-21.9114,34.4322,-38.668,52.6263,-46.3734,37.3992,-18.9445,8.13253,0,0,-8.9359,19.5593,-17.1506,32.1583,-31.4809,37.0881,-22.6105,14.0994,-4.00605,0,0,7.55951,-4.30397,13.5154,-8.27512,21.3222,-13.565,13.9173,-3.90201,2.26968,0,0,-1.60488,8.16344,-0.0284826,11.8993,-5.81614,13.6269,-4.0566,4.13532,0.122716,0,0,7.55951,-4.30397,13.5154,-8.27512,21.3222,-13.565,13.9173,-3.90201,2.26968,0,0,-8.9359,19.5593,-17.1506,32.1583,-31.4809,37.0881,-22.6105,14.0994,-4.00605,0,0,15.8379,-21.9114,34.4322,-38.668,52.6263,-46.3734,37.3992,-18.9445,8.13253,0,0,-10.7982,20.5931,-24.3906,35.1355,-38.305,39.5123,-28.0285,16.9551,-6.42138,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,21.0513,-35.1959,50.6987,-61.6268,73.8927,-68.7902,54.3638,-31.5308,13.8879,0,0,-26.161,49.3159,-61.5076,84.9418,-93.5067,94.4744,-68.8223,42.0012,-16.6283,0,0,22.5442,-32.6564,50.1564,-57.5248,76.1665,-67.8648,54.5679,-28.2449,12.2043,0,0,-10.4736,22.1014,-20.0125,36.5231,-36.4481,42.5208,-26.004,16.1099,-4.47594,0,0,10.2759,-8.99458,18.8545,-16.0975,30.7579,-22.9772,20.6727,-7.17636,3.39624,0,0,-10.4736,22.1014,-20.0125,36.5231,-36.4481,42.5208,-26.004,16.1099,-4.47594,0,0,22.5442,-32.6564,50.1564,-57.5248,76.1665,-67.8648,54.5679,-28.2449,12.2043,0,0,-26.161,49.3159,-61.5076,84.9418,-93.5067,94.4744,-68.8223,42.0012,-16.6283,0,0,21.0513,-35.1959,50.6987,-61.6268,73.8927,-68.7902,54.3638,-31.5308,13.8879,0,0,0,0,0,0,0,0,0,0,0,0
0.044,0,0,0,0,0,0,0,0,0,0,0,0,-37.1736,69.5439,-93.7513,120.789,-133.905,130.366,-100.276,63.0197,-27.5964,0,0,52.8612,-91.7979,130.95,-160.631,187.894,-176.278,139.456,-83.2912,37.2143,0,0,-41.2429,77.241,-98.7744,133.63,-147.838,147.811,-109.115,66.9002,-27.0622,0,0,28.2528,-42.1157,63.0617,-73.947,96.2562,-86.8301,69.1509,-36.0264,15.3697,0,0,-18.1423,34.73,-37.3595,58.722,-63.2431,68.3752,-45.2683,26.8213,-8.48904,0,0,28.2528,-42.1157,63.0617,-73.947,96.2562,-86.8301,69.1509,-36.0264,15.3697,0,0,-41.2429,77.241,-98.7744,133.63,-147.838,147.811,-109.115,66.9002,-27.0622,0,0,52.8612,-91.7979,130.95,-160.631,187.894,-176.278,139.456,-83.2912,37.2143,0,0,-37.1736,69.5439,-93.7513,120.789,-133.905,130.366,-100.276,63.0197,-27.5964,0,0,0,0,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,0,0,0,0,0,0,0,71.2662,-130.815,184.764,-227.789,255.963,-242.403,193.302,-122.277,56.6514,0,0,-99.8024,187.317,-256.552,325.684,-360.197,347.978,-271.258,172.611,-77.5085,0,0,88.0877,-155.917,221.218,-272.654,314.939,-296.711,234.796,-142.338,64.031,0,0,-57.552,106.584,-138.716,185.036,-206.497,204.735,-152.387,92.9127,-37.8529,0,0,47.3796,-76.7313,110.246,-134.632,165.79,-153.894,120.56,-66.4168,28.1177,0,0,-57.552,106.584,-138.716,185.036,-206.497,204.735,-152.387,92.9127,-37.8529,0,0,88.0877,-155.917,221.218,-272.654,314.939,-296.711,234.796,-142.338,64.031,0,0,-99.8024,187.317,-256.552,325.684,-360.197,347.978,-271.258,172.611,-77.5085,0,0,71.2662,-130.815,184.764,-227.789,255.963,-242.403,193.302,-122.277,56.6514,0,0,0,0,0,0,0,0,0,0,0,0
0.052,0,0,0,0,0,0,0,0,0,0,0,0,-135.007,255.828,-356.921,443.238,-485.734,464.339,-370.357,242.392,-113.905,0,0,198.55,-369.625,521.524,-642.287,713.944,-677.015,542.23,-348.919,163.822,0,0,-178.161,334.833,-462.266,582.343,-643.387,619.006,-485.955,311.143,-141.498,0,0,131.352,-235.517,332.463,-412.021,472.098,-446.636,352.634,-215.345,96.7363,0,0,-105.162,194.356,-261.665,339.222,-380.082,370.664,-282.37,173.651,-73.7197,0,0,131.352,-235.517,332.463,-412.021,472.098,-446.636,352.634,-215.345,96.7363,0,0,-178.161,334.833,-462.266,582.343,-643.387,619.006,-485.955,311.143,-141.498,0,0,198.55,-369.625,521.524,-642.287,713.944,-677.015,542.23,-348.919,163.822,0,0,-135.007,255.828,-356.921,443.238,-485.734,464.339,-370.357,242.392,-113.905,0,0,0,0,0,0,0,0,0,0,0,0
0.056,0,0,0,0,0,0,0,0,0,0,0,0,262.755,-498.118,702.388,-859.919,940.049,-891.846,721.799,-478.708,230.829,0,0,-392.247,746.069,-1045.35,1289.79,-1407.74,1342.02,-1078.24,713.187,-340.023,0,0,372.79,-699.127,985.825,-1213.39,1340.99,-1272.6,1021.58,-663.373,313.58,0,0,-286.347,538.511,-748.065,937.663,-1036.11,993.743,-783.703,502.873,-230.267,0,0,245.921,-451.758,636.401,-789.849,889.682,-844.688,669.255,-418.903,191.081,0,0,-286.347,538.511,-748.065,937.663,-1036.11,993.743,-783.703,502.873,-230.267,0,0,372.79,-699.127,985.825,-1213.39,1340.99,-1272.6,1021.58,-663.373,313.58,0,0,-392.247,746.069,-1045.35,1289.79,-1407.74,1342.02,-1078.24,713.187,-340.023,0,0,262.755,-498.118,702.388,-859.919,940.049,-891.846,721.799,-478.708,230.829,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0,0,0,0,0,-513.799,983.356,-1382.79,1688.84,-1827.83,1736.65,-1412.6,953.55,-465.989,0,0,787.994,-1501.58,2116.84,-2584.44,2809.78,-2665.38,2166.37,-1452.05,707.052,0,0,-774.763,1476.75,-2073.87,2549.74,-2776.53,2642.89,-2132.11,1418.51,-681.613,0,0,634.697,-1197.23,1688.2,-2077.56,2286.5,-2171.09,1745.2,-1140.22,541.174,0,0,-557.333,1054.79,-1476.94,1834.47,-2016.51,1925.38,-1533.95,997.775,-466.424,0,0,634.697,-1197.23,1688.2,-2077.56,2286.5,-2171.09,1745.2,-1140.22,541.174,0,0,-774.763,1476.75,-2073.87,2549.74,-2776.53,2642.89,-2132.11,1418.51,-681.613,0,0,787.994,-1501.58,2116.84,-2584.44,2809.78,-2665.38,2166.37,-1452.05,707.052,0,0,-513.799,983.356,-1382.79,1688.84,-1827.83,1736.65,-1412.6,953.55,-465.989,0,0,0,0,0,0,0,0,0,0,0,0
0.064,0,0,0,0,0,0,0,0,0,0,0,0,1016.82,-1949.28,2745.29,-3331.33,3590.81,-3404.31,2790.19,-1904.38,943.834,0,0,-1588.85,3046.93,-4287.17,5216.74,-5627.54,5341.51,-4364.68,2969.42,-1464.09,0,0,1624.64,-3105.03,4376.94,-5334.8,5781.48,-5483.78,4468.46,-3013.5,1475.66,0,0,-1392.55,2660.11,-3743.16,4590.1,-4988.57,4742.64,-3838.07,2565.2,-1240.01,0,0,1264.07,-2404.36,3392.43,-4160.11,4543.05,-4312.28,3485.8,-2310.99,1111.9,0,0,-1392.55,2660.11,-3743.16,4590.1,-4988.57,4742.64,-3838.07,2565.2,-1240.01,0,0,1624.64,-3105.03,4376.94,-5334.8,5781.48,-5483.78,4468.46,-3013.5,1475.66,0,0,-1588.85,3046.93,-4287.17,5216.74,-5627.54,5341.51,-4364.68,2969.42,-1464.09,0,0,1016.82,-1949.28,2745.29,-3331.33,3590.81,-3404.31,2790.19,-1904.38,943.834,0,0,0,0,0,0,0,0,0,0,0,0
0.068,0,0,0,0,0,0,0,0,0,0,0,0,-2025.35,3893.18,-5474.29,6619.93,-7099.76,6731.59,-5543.46,3824.01,-1913.69,0,0,3228.66,-6200.29,8726.66,-10562.4,11348.7,-10757,8846.64,-6080.32,3034.02,0,0,-3409.35,6546.46,-9214.23,11187,-12042.8,11423.9,-9361.09,6399.6,-3172.44,0,0,3055.06,-5854.1,8253.72,-10044.7,10856.1,-10294.7,8407.68,-5700.15,2805.11,0,0,-2834.23,5433.31,-7655.77,9342.34,-10105.6,9593.02,-7811.24,5277.83,-2583.55,0,0,3055.06,-5854.1,8253.72,-10044.7,10856.1,-10294.7,8407.68,-5700.15,2805.11,0,0,-3409.35,6546.46,-9214.23,11187,-12042.8,11423.9,-9361.09,6399.6,-3172.44,0,0,3228.66,-6200.29,8726.66,-10562.4,11348.7,-10757,8846.64,-6080.32,3034.02,0,0,-2025.35,3893.18,-5474.29,6619.93,-7099.76,6731.59,-5543.46,3824.01,-1913.69,0,0,0,0,0,0,0,0,0,0,0,0
0.072,0,0,0,0,0,0,0,0,0,0,0,0,4063.95,-7815.88,10980.5,-13226.5,14140,-13399,11087,-7709.39,3891.43,0,0,-6591.19,12678.2,-17816.5,21490.4,-22994,21794.6,-18004.7,12489.9,-6286.99,0,0,7177.68,-13799.1,19414.1,-23457.8,25151.9,-23836.6,19647.8,-13565.4,6798.96,0,0,-6672.11,12827.9,-18059.8,21882.5,-23508.7,22289.1,-18311.5,12576.2,-6265.52,0,0,6317.9,-12139.3,17106.7,-20745.7,22322.4,-21158.3,17361.2,-11884.7,5905.35,0,0,-6672.11,12827.9,-18059.8,21882.5,-23508.7,22289.1,-18311.5,12576.2,-6265.52,0,0,7177.68,-13799.1,19414.1,-23457.8,25151.9,-23836.6,19647.8,-13565.4,6798.96,0,0,-6591.19,12678.2,-17816.5,21490.4,-22994,21794.6,-18004.7,12489.9,-6286.99,0,0,4063.95,-7815.88,10980.5,-13226.5,14140,-13399,11087,-7709.39,3891.43,0,0,0,0,0,0,0,0,0,0,0,0
0.076,0,0,0,0,0,0,0,0,0,0,0,0,-8201.2,15778.6,-22131.8,26580.2,-28331.8,26848,-22297.5,15613,-7933.41,0,0,13522.6,-26015.9,36515.1,-43892.2,46827.1,-44370.5,36810.5,-25720.5,13044.3,0,0,-15131.6,29118.6,-40901.7,49250.2,-52610,49855.3,-41275.9,28744.3,-14526.5,0,0,14532.7,-27964.8,39328.3,-47438.3,50763.6,-48099.5,39736.6,-27556.5,13871.5,0,0,-13984.1,26915.7,-37865.8,45725.1,-48962,46399.7,-38283.1,26498.4,-13309.5,0,0,14532.7,-27964.8,39328.3,-47438.3,50763.6,-48099.5,39736.6,-27556.5,13871.5,0,0,-15131.6,29118.6,-40901.7,49250.2,-52610,49855.3,-41275.9,28744.3,-14526.5,0,0,13522.6,-26015.9,36515.1,-43892.2,46827.1,-44370.5,36810.5,-25720.5,13044.3,0,0,-8201.2,15778.6,-22131.8,26580.2,-28331.8,26848,-22297.5,15613,-7933.41,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,16641.2,-32006.7,44828.7,-53690.5,57101.2,-54108.7,45087.1,-31748.3,16223,0,0,-27853.1,53583.5,-75085.7,90004.4,-95778.1,90758.7,-75552.1,53117.2,-27098.8,0,0,31948.5,-61476.7,86225.9,-103487,110244,-104456,86824.2,-60878.4,30980,0,0,-31551.8,60737,-85265.2,102490,-109302,103562,-85928,60074.3,-30479.9,0,0,30782.9,-59261.3,83238.5,-100117,106838,-101217,83918.4,-58581.3,29682.3,0,0,-31551.8,60737,-85265.2,102490,-109302,103562,-85928,60074.3,-30479.9,0,0,31948.5,-61476.7,86225.9,-103487,110244,-104456,86824.2,-60878.4,30980,0,0,-27853.1,53583.5,-75085.7,90004.4,-95778.1,90758.7,-75552.1,53117.2,-27098.8,0,0,16641.2,-32006.7,44828.7,-53690.5,57101.2,-54108.7,45087.1,-31748.3,16223,0,0,0,0,0,0,0,0,0,0,0,0
0.084,0,0,0,0,0,0,0,0,0,0,0,0,-33928.6,65225.4,-91210.4,108988,-115692,109644,-91615.9,64819.9,-33272.6,0,0,57581.1,-110719,154908,-185219,196710,-186413,155646,-109981,56387.3,0,0,-67521.7,129884,-181861,217678,-231356,219229,-182820,128925,-65970.8,0,0,68318.4,-131464,184236,-220762,234835,-222498,185308,-130392,66582.6,0,0,-67415.7,129755,-181907,218093,-232078,219882,-183013,128648,-65625.9,0,0,68318.4,-131464,184236,-220762,234835,-222498,185308,-130392,66582.6,0,0,-67521.7,129884,-181861,217678,-231356,219229,-182820,128925,-65970.8,0,0,57581.1,-110719,154908,-185219,196710,-186413,155646,-109981,56387.3,0,0,-33928.6,65225.4,-91210.4,108988,-115692,109644,-91615.9,64819.9,-33272.6,0,0,0,0,0,0,0,0,0,0,0,0
0.088,0,0,0,0,0,0,0,0,0,0,0,0,69479.8,-133478,186375,-222241,235552,-223275,187014,-132840,68446.4,0,0,-119416,229471,-320549,382445,-405498,384340,-321720,228300,-117522,0,0,142826,-274557,383799,-458286,486194,-460772,385335,-273021,140341,0,0,-147552,283756,-396939,474394,-503579,477201,-398674,282021,-144745,0,0,147006,-282753,395671,-473059,502305,-475964,397467,-280958,144101,0,0,-147552,283756,-396939,474394,-503579,477201,-398674,282021,-144745,0,0,142826,-274557,383799,-458286,486194,-460772,385335,-273021,140341,0,0,-119416,229471,-320549,382445,-405498,384340,-321720,228300,-117522,0,0,69479.8,-133478,186375,-222241,235552,-223275,187014,-132840,68446.4,0,0,0,0,0,0,0,0,0,0,0,0
